"'Allowance' column title","'ค่าเผื่อ' ชื่อคอลัมน์"
"Attribute to use as product name","แอตทริบิวต์ที่จะใช้เป็นชื่อผลิตภัณฑ์"
"Auto description 1","คำอธิบายอัตโนมัติ 1"
"Auto description 3","คำอธิบาย Auto 3"
"Auto Processing","การประมวลผลอัตโนมัติ"
"Automatic action :","การกระทำอัตโนมัติ:"
"Automatic action #2:","ทำงานอัตโนมัติ # 2:"
"Automatic action #3:","ทำงานอัตโนมัติ # 3:"
"Automation Connection","การเชื่อมต่อการทำงานอัตโนมัติ"
"Background Image","ภาพพื้นหลัง"
"Background image position","ตำแหน่งภาพพื้นหลัง"
"Background image?","ภาพพื้นหลัง?"
"barcode : Font","บาร์โค้ด: ตัวอักษร"
"barcode font size","ขนาดตัวอักษรบาร์โค้ด"
"barcode Font Size (Orders)","บาร์โค้ดขนาดตัวอักษร (คำสั่งซื้อ)"
"barcode Font Size (Products)","บาร์โค้ดขนาดตัวอักษร (Products)"
"barcode font-size","บาร์โค้ดขนาดตัวอักษร"
"barcode size","ขนาดบาร์โค้ด"
"barcode X-pos.","บาร์โค้ด X-POS"
"Because the Order currency is different from the Store currency, the conversion from","เนื่องจากสกุลเงินสั่งซื้อสินค้าที่แตกต่างจากสกุลเงินร้านที่แปลงจาก"
"Beside address","ข้างอยู่"
"Billing address position","ตำแหน่งที่อยู่การเรียกเก็บเงิน"
"Billing address posititon","การเรียกเก็บเงิน posititon อยู่"
"Billing address title","ชื่อที่อยู่การเรียกเก็บเงิน"
"Bkg","BKG"
"Blank = #000000 (#HEX colour code)","Blank = # 000000 (รหัสสี #HEX)"
"Blank box image","ภาพกล่องเปล่า"
"Bold","กล้า"
"Bold 'Extra shipping details' labels?","ป้าย Bold 'รายละเอียดการจัดส่งสินค้าเสริม'?"
"Bold italic","ตัวเอียงตัวหนา"
"Bold last line in page-base shipping addresses?","บรรทัดสุดท้ายเป็นตัวหนาในที่อยู่จัดส่งหน้าฐาน?"
"Bold last line in page-top shipping addresses?","บรรทัดสุดท้ายเป็นตัวหนาในที่อยู่จัดส่งหน้า Top?"
"Bold product name?","ชื่อผลิตภัณฑ์ Bold?"
"Border color","สีของเส้นขอบ"
"Bottom of page","ด้านล่างของหน้า"
"Box 1 Image","กล่อง 1 รูป"
"Box 2a Image (Store Pickup)","กล่อง 2A ภาพ (ร้านรถกระบะ)"
"Box 2b Image (Express Mail)","กล่อง 2b ภาพ (ด่วน Mail)"
"Box 2c Image (Priority International)","กล่อง 2C ภาพ (ลำดับความสำคัญระหว่างประเทศ)"
"Box 2d Image (Standard International)","กล่อง 2D ภาพ (มาตรฐานสากล)"
"Box 3 Image","3 กล่องภาพ"
"Box count estimation?","กล่องนับประมาณค่า?"
"Bring up top address?","ขึ้นมาอยู่ด้านบน?"
"Buttons for PDFs","ปุ่มสำหรับไฟล์ PDF"
"By default we output ANSI, which works well for Windows machines and special characters.<br >If you need UTF-8, just choose that here","โดยเราเริ่มต้นการส่งออก ANSI ซึ่งทำงานได้ดีสำหรับเครื่อง Windows และอักขระพิเศษ. <br> หากคุณต้องการ UTF-8 เพียงแค่เลือกที่นี่"
"By Height","โดยความสูง"
"By Width","ตามความกว้าง"
"Calculate line totals by:","คำนวณผลรวมบรรทัดโดย:"
"Callout colour","สีไฮไลต์"
"Can be handy to reduce customer support - eg. set to a custom Processing status of 'Packing your order now'","จะมีประโยชน์ในการลดการสนับสนุนลูกค้า - เช่น ตั้งสถานะการประมวลผลที่กำหนดเองของบรรจุคำสั่งของคุณตอนนี้ '"
"Cancel?","ยกเลิก?"
"Capitalise shipping labels?","Capitalise การจัดส่งป้าย?"
"Category translation","แปลหมวดหมู่"
"Center values?","ค่าศูนย์?"
"Centered in page","ศูนย์กลางในหน้า"
"Centered in product list","เป็นศูนย์กลางในรายการสินค้า"
"Change order status","เปลี่ยนสถานะการสั่งซื้อ"
"Change the layout of shipping addresses","เปลี่ยนรูปแบบของที่อยู่จัดส่ง"
"Change to status:","เปลี่ยนสถานะ:"
"Check for gift message?","ตรวจสอบข้อความที่ระลึก?"
"Clear Cached Images in pickPack","รูปภาพ Cached ชัดเจนในการ pickPack"
"Code","รหัส"
"Color","สี"
"Color attribute","แอตทริบิวต์สี"
"Color X-pos.","สี X-POS"
"Column mapping","การทำแผนที่คอลัมน์"
"Columns Y-X-pos.","คอลัมน์ Y-X-POS"
"Combine attribute?","Combine แอตทริบิวต์?"
"Combine custom attributes under product line?","รวมแอตทริบิวต์ที่กำหนดเองภายใต้สายผลิตภัณฑ์?"
"Combine custom product attributes under the product line?","รวมคุณลักษณะของผลิตภัณฑ์ที่กำหนดเองภายใต้สายผลิตภัณฑ์?"
"Combine pdfs","รวมไฟล์ PDF"
"Combine product line details?","รวมรายละเอียดสายผลิตภัณฑ์?"
"Combine the custom attributes listed below?","Combine แอตทริบิวต์ที่กำหนดเองที่ระบุไว้ดังต่อไปนี้?"
"Combined Attributes Xpos","รวมคุณสมบัติ Xpos"
"Combined Packing Sheet/Invoice' grouped by Order ID?","รวมบรรจุแผ่น / ใบแจ้งหนี้ 'จัดกลุ่มตามรหัสคำสั่งซื้อ?"
"Combined pdfs?","รวมไฟล์ PDF?"
"Comma separated top,bottom widths (eg 1,2)","คั่นด้วยเครื่องหมายจุลภาคบนความกว้างด้านล่าง (เช่น 1,2)"
"Comma-separated list of customer group names where you don't want the group name","รายการคั่นด้วยเครื่องหมายจุลภาคชื่อกลุ่มลูกค้าที่คุณไม่ต้องการชื่อกลุ่ม"
"Comma-separated list of SKUs to *not* show","รายการ SKUs คั่นด้วยเครื่องหมายจุลภาคเพื่อ * ไม่ * การแสดง"
"Comma-separated list of SKUs to *not* show a count for","รายการ SKUs คั่นด้วยเครื่องหมายจุลภาคเพื่อ * ไม่ * แสดงนับเป็น"
"Comments","ความคิดเห็น"
"Company address","ที่อยู่ บริษัท"
"Company address : Color","ที่อยู่ บริษัท : สี"
"Company address : Font","ที่อยู่ บริษัท : ตัวอักษร"
"Company address : Size","ที่อยู่ บริษัท : ขนาด"
"Company address : Style","ที่อยู่ บริษัท : สไตล์"
"Company address, Default","ที่อยู่ บริษัท เริ่มต้น"
"Company address, Group 1","ที่อยู่ บริษัท กลุ่มที่ 1"
"Company address, Group 2","ที่อยู่ บริษัท , กลุ่มที่ 2"
"Company address, Group 3","ที่อยู่ บริษัท , กลุ่มที่ 3"
"Condition","เงื่อนไข"
"Configurable product name","ชื่อผลิตภัณฑ์ที่กำหนด"
"Cost (base) to (display) exchange rate","ค่าใช้จ่าย (เบส) (แสดง) อัตราแลกเปลี่ยน"
"Cost currency prefix","คำนำหน้าสกุลเงินค่าใช้จ่าย"
"Cost multiplier","คูณค่าใช้จ่าย"
"Cost subtotal?","ผลรวมย่อยค่าใช้จ่าย?"
"shippingRules Method","วิธี shippingRules"
"shippingRules method?","วิธี shippingRules?"
"shippingRules Shipping Method","shippingRules วิธีการจัดส่ง"
"CSV (Order-combined Products)","CSV (สินค้าสั่งซื้อรวมกัน)"
"CSV (Order-combined Products) Options","CSV (สินค้าสั่งซื้อรวมกัน) ตัวเลือก"
"CSV (Order-combined Products)?","CSV (สินค้าสั่งซื้อรวมกัน)?"
"CSV (Order-separated Products)","CSV (สั่งแยก Products)"
"CSV (Order-separated Products) Options","CSV (สั่งแยก Products) ตัวเลือก"
"CSV (Order-separated Products)?","CSV (สั่งแยก Products)?"
"CSV (Orders)","CSV (คำสั่งซื้อ)"
"CSV (Orders) Options","CSV (คำสั่งซื้อ) ตัวเลือก"
"CSV (Orders)?","CSV (คำสั่งซื้อ)?"
"CSV field separator","คั่นฟิลด์ CSV"
"CSV output encoding","การเข้ารหัสการส่งออก CSV"
"CSV/XML (Cargo Manifest)","CSV / XML (Cargo Manifest)"
"CSV/XML (Cargo Manifest)?","CSV / XML (Cargo Manifest)?"
"Custom","กำหนดเอง"
"Custom Attribute","แอตทริบิวต์ที่กำหนดเอง"
"Custom attribute (1)","แอตทริบิวต์ที่กำหนดเอง (1)"
"Custom attribute (2)","แอตทริบิวต์ที่กำหนดเอง (2)"
"Custom attribute (3)","แอตทริบิวต์ที่กำหนดเอง (3)"
"Custom attribute (4)","แอตทริบิวต์ที่กำหนดเอง (4)"
"Custom CSV field separator","ที่กำหนดเองคั่นฟิลด์ CSV"
"Custom font file","แฟ้มแบบอักษรที่กำหนดเอง"
"Custom image","ภาพที่กำหนดเอง"
"Custom Message : Background Color","ข้อความที่กำหนดเอง: สีพื้นหลัง"
"Custom Message : Color","ข้อความที่กำหนดเอง: สี"
"Custom Message : Font","ข้อความที่กำหนดเอง: ตัวอักษร"
"Custom Message : Size","ข้อความที่กำหนดเอง: ขนาด"
"Custom Message : Style","ข้อความที่กำหนดเอง: สไตล์"
"Custom message under product list?","ข้อความที่กำหนดเองภายใต้รายการสินค้า?"
"Custom options column title","ตัวเลือกที่กำหนดเองชื่อคอลัมน์"
"Custom Order Attribute","แอตทริบิวต์การสั่งซื้อที่กำหนดเอง"
"Custom page title","ชื่อเพจที่กำหนดเอง"
"Custom product attribute code (eg: shelf)","ที่กำหนดเองรหัสคุณสมบัติของสินค้า (เช่นการเก็บรักษา)"
"Custom product attribute?","สินค้าแอตทริบิวต์ที่กำหนดเอง?"
"Custom text image","ภาพข้อความที่กำหนดเอง"
"Custom text under product list?","ข้อความที่กำหนดเองภายใต้รายการสินค้า?"
"Custom Value","ค่าที่กำหนดเอง"
"Custom weight fields?","สาขาน้ำหนักที่กำหนดเอง?"
"Custom weightbased count?","ที่กำหนดเอง weightbased นับ?"
"Custom Weightbased label?","Weightbased กำหนดเองฉลาก?"
"Custom Weightbased text?","ที่กำหนดเอง Weightbased ข้อความ?"
"Customer Address X-pos.","ลูกค้าที่อยู่ X-POS"
"Customer attribute code","รหัสแอตทริบิวต์ของลูกค้า"
"Customer Comments","ความคิดเห็นของลูกค้า"
"Customer custom attribute?","ที่กำหนดเองของลูกค้าแอตทริบิวต์?"
"Customer Email","อีเมลของลูกค้า"
"Customer Email?","อีเมลของลูกค้า?"
"Customer group?","กลุ่มลูกค้า?"
"Customer ID (Footer) X-pos.","รหัสลูกค้า (ส่วนท้าย) X-POS"
"Customer ID X-pos.","รหัสลูกค้า X-POS"
"Customer ID?","รหัสลูกค้า?"
"Customer name X-pos.","ชื่อลูกค้า X-POS"
"Customer VAT title","ชื่อภาษีมูลค่าเพิ่มลูกค้า"
"Customer: Change "Print Invoice" to "PDF Invoices"?","ลูกค้า: เปลี่ยน "พิมพ์ใบแจ้งหนี้" กับ "ใบแจ้งหนี้ PDF"?"
"Customer: Change "Print Order" to "PDF Invoices"?","ลูกค้า: เปลี่ยน "คำสั่งพิมพ์" กับ "ใบแจ้งหนี้ PDF"?"
"Customer: PDF Invoice button?","ลูกค้า: ปุ่มรูปแบบไฟล์ PDF Invoice ได้อย่างไร?"
"Customer: PDF Packing Sheet button?","ลูกค้า: PDF ปุ่มบรรจุแผ่น?"
"Customise 'Packed by' text","ปรับแต่ง 'บรรจุโดย' ข้อความ"
"Customise fonts/colours?","กำหนดค่าแบบอักษร / สี?"
"Customize page title?","ปรับแต่งชื่อหน้า?"
"Date format","รูปแบบวันที่"
"Date printed?","วันที่พิมพ์?"
"Day","วัน"
"Deadline text","ข้อความเส้นตาย"
"Deadline text / date?","ข้อความที่กำหนดเส้นตายวันที่ /?"
"Default","ค่าเริ่มต้น"
"Default : Yes","เริ่มต้น: ใช่"
"Default (Use standard)","ค่าเริ่มต้น (การใช้งานมาตรฐาน)"
"Default (Use Total Price Xpos)","ค่าเริ่มต้น (การใช้งานราคารวม Xpos)"
"Default (Use total prixe Xpos)","ค่าเริ่มต้น (ใช้ prixe รวม Xpos)"
"Default top-right; eg. 'Invoice'","เริ่มต้นบนขวา; เช่น. 'ใบแจ้งหนี้'"
"Default top-right; eg. 'Packing Sheet'","เริ่มต้นบนขวา; เช่น. 'การบรรจุแผ่น'"
"Default:","ค่าเริ่มต้น:"
"Default: -230,-210","เริ่มต้น: -230, -210"
"Default: ,","ค่าเริ่มต้น: ,"
"Default: 'OK'","เริ่มต้น: 'ตกลง'"
"Default: 'OK' -->","เริ่มต้น: 'ตกลง' ->"
"Default: "Payment due "","เริ่มต้น: "การชำระเงินเนื่องจาก""
"Default: {blank}","เริ่มต้น: {} ว่างเปล่า"
"Default: #DDDDDD","เริ่มต้น: #DDDDDD"
"Default: #FFFFFF","เริ่มต้น: #FFFFFF"
"Default: 0<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","เริ่มต้น: 0 <br /> เช่น 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20"
"Default: 1<br />Eg. Change the display cost to match your actual end costs","เริ่มต้น: 1 <br /> เช่น เปลี่ยนค่าใช้จ่ายในการแสดงผลเพื่อให้ตรงกับค่าใช้จ่ายที่เกิดขึ้นจริงในตอนท้ายของคุณ"
"Default: 1<br />Eg. kg -> lb = 2.2046; lb -> kg = 0.4536","เริ่มต้น: 1 <br /> เช่น กก. -> ปอนด์ = 2.2046; ปอนด์ -> กก. = 0.4536"
"Default: 1<br />Eg. your base currency is USD, your manifest display currency is GBP : enter the exchange rate multiplier for USD -> GBP","เริ่มต้น: 1 <br /> เช่น สกุลเงินหลักของคุณเป็นเงินสกุลเงินที่แสดงของคุณประจักษ์เป็น GBP: ป้อนตัวคูณอัตราแลกเปลี่ยนสำหรับ USD -> GBP"
"Default: 100","เริ่มต้น: 100"
"Default: 13pt/5pt (top/bottom), 5pt (left/right)","เริ่มต้น: 13pt / 5PT (บน / ล่าง) 5PT (ซ้าย / ขวา)"
"Default: 17","เริ่มต้น: 17"
"Default: 185","เริ่มต้น: 185"
"Default: 2 [1.1256 becomes 1.13]","เริ่มต้น: 2 [1.1256 กลายเป็น 1.13]"
"Default: 2<br />Eg. 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20","เริ่มต้น: 2 <br /> เช่น 21.6700 @ 0 = 22; @ 1 = 21.7; @ 2 = 21.67; @ -1 = 20"
"Default: 200","เริ่มต้น: 200"
"Default: 22pt (top/bottom), 30pt (left/right)","เริ่มต้น: 22pt (บน / ล่าง) 30pt (ซ้าย / ขวา)"
"Default: 25","เริ่มต้น: 25"
"Default: 25 -->","เริ่มต้น: 25 ->"
"Default: 25, 25 (can leave one blank)","เริ่มต้น: 25, 25 (สามารถออกจากหนึ่งที่ว่างเปล่า)"
"Default: 250","เริ่มต้น: 250"
"Default: 250, 100. Need to select [Yes] on "Show order gift message" or "Show product gift message".","เริ่มต้น: 250, 100 ต้องเลือก [Yes] บน "ข้อความแสดงของขวัญสั่งซื้อ" หรือ "แสดงข้อความที่ระลึกผลิตภัณฑ์""
"Default: 250, 100. Need to select yes on "Show order gift message" or "Show product gift message"","เริ่มต้น: 250, 100 ต้องเลือกใช่ "ข้อความแสดงของขวัญสั่งซื้อ" หรือ "แสดงข้อความที่ระลึกผลิตภัณฑ์""
"Default: 250x182","เริ่มต้น: 250x182"
"Default: 3","เริ่มต้น: 3"
"Default: 350","เริ่มต้น: 350"
"Default: 380","เริ่มต้น: 380"
"Default: 40","เริ่มต้น: 40"
"Default: 400","เริ่มต้น: 400"
"Default: 420","เริ่มต้น: 420"
"Default: 450","เริ่มต้น: 450"
"Default: 460","เริ่มต้น: 460"
"Default: 475","เริ่มต้น: 475"
"Default: 480","เริ่มต้น: 480"
"Default: 50","เริ่มต้น: 50"
"Default: 500","เริ่มต้น: 500"
"Default: 520","เริ่มต้น: 520"
"Default: 5pt (top/bottom), 5pt (left/right)","เริ่มต้น: 5PT (บน / ล่าง) 5PT (ซ้าย / ขวา)"
"Default: 5pt/5pt (top/bottom), 5pt/5pt (left/right)","เริ่มต้น: 5PT / 5PT (บน / ล่าง) 5PT / 5PT (ซ้าย / ขวา)"
"Default: 67","เริ่มต้น: 67"
"Default: 8","เริ่มต้น: 8"
"Default: 80","เริ่มต้น: 80"
"Default: backordered","เริ่มต้น: การสั่งจอง"
"Default: Bold","เริ่มต้น: Bold"
"Default: center","เริ่มต้น: ศูนย์"
"Default: Code128","เริ่มต้น: Code128"
"Default: codes","เริ่มต้น: รหัส"
"Default: Empty","เริ่มต้น: ว่างเปล่า"
"Default: Grand Total","เริ่มต้น: แกรนด์รวม"
"Default: ID","เริ่มต้น: ID"
"Default: ID -->","เริ่มต้น: ID ->"
"Default: invoice_","เริ่มต้น: invoice_"
"Default: invoice+packing-sheet_","เริ่มต้น: ใบแจ้งหนี้ + บรรจุ sheet_"
"Default: items","เริ่มต้น: รายการ"
"Default: Left (if right, turn off barcodes, addresses; if full-width no company","เริ่มต้น: ซ้าย (ขวาถ้าปิดบาร์โค้ด, ที่อยู่ถ้าเต็มความกว้างไม่มี บริษัท"
"Default: M j, Y . Format this according to www.php.net/date","เริ่มต้น: M J, Y รูปแบบนี้ตาม www.php.net/date"
"Default: Method B","เริ่มต้น: วิธีการ B"
"Default: name","เริ่มต้น: ชื่อ"
"Default: order-combined_","เริ่มต้น: การสั่งซื้อ combined_"
"Default: order-separated_","เริ่มต้น: การสั่งซื้อ separated_"
"Default: out-of-stock-list_","เริ่มต้น: ออกจากสต็อก list_"
"Default: packing-sheet_","เริ่มต้น: บรรจุ sheet_"
"Default: Phone","เริ่มต้น: โทรศัพท์"
"Default: Phone -->","เริ่มต้น: โทรศัพท์ ->"
"Default: product-separated_","เริ่มต้น: ผลิตภัณฑ์ separated_"
"Default: pt (top/bottom), pt (left/right)","เริ่มต้น: PT (บน / ล่าง), PT (ซ้าย / ขวา)"
"Default: Qty","เริ่มต้น: จำนวน"
"Default: Qty -->","เริ่มต้น: จำนวน ->"
"Default: Ship to:","เริ่มต้น: ส่งไปที่:"
"Default: Shipping","เริ่มต้น: การจัดส่งสินค้า"
"Default: Simple product name","เริ่มต้น: ชื่อผลิตภัณฑ์ที่เรียบง่าย"
"Default: Source","เริ่มต้น: ที่มา"
"Default: Subtotal","เริ่มต้น: ยอดรวม"
"Default: tax","เริ่มต้น: ภาษี"
"Default: total","เริ่มต้น: รวม"
"Default: USD","เริ่มต้น: เหรียญสหรัฐ"
"Default: VAT Rateable","เริ่มต้น: ประเมินภาษีมูลค่าเพิ่ม"
"Default: warehouse","เริ่มต้น: คลังสินค้า"
"Default: Y_m_d . Format this according to www.php.net/date","เริ่มต้น: Y_m_d รูปแบบนี้ตาม www.php.net/date"
"Default: Zero-rated","เริ่มต้น: ศูนย์จัดอันดับ"
"Default:7","เริ่มต้น: 7"
"Default: No","เริ่มต้น: ไม่มี"
"Default: Yes","เริ่มต้น: ใช่"
"Depends on your stock management system","ขึ้นอยู่กับระบบการบริหารจัดการสต็อกของคุณ"
"Descending","มากไปหาน้อย"
"Detailed CC info?","ข้อมูลรายละเอียด CC?"
"Dimensions","ขนาด"
"Dimensions : 'Label width' x 'Label height' @ 300dpi : non-interlaced and non-transparent .png","ขนาด: 'ความกว้างป้าย' X 'ความสูงป้าย' @ 300dpi: ไม่สอดประสานและไม่โปร่งใส .png"
"Dimensions 180<b style="color:red;">pt</b> x 120<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","ขนาด 180 <b style = "สี: สีแดง;"> PT </ b> x 120 <b style = "สี: สีแดง;"> PT </ b> @ 300dpi: ไม่ interlaced <b> และ </ b> .png ไม่โปร่งใส"
"Dimensions 540<b style="color:red;">pt</b>(A4)|562<b style="color:red;">pt</b>(US Letter) x 1-200<b style="color:red;">pt</b> @ 300dpi : non-interlaced <b>and</b> non-transparent .png","ขนาด 540 <b style = "สี: สีแดง;"> PT </ b> (A4) |​​ 562 <b style = "สี: สีแดง;"> PT </ b> (จดหมาย) x 1-200 <b สไตล์ = "สี: สีแดง;"> PT </ b> @ 300dpi: ไม่ interlaced <b> และ </ b> .png ไม่โปร่งใส"
"Dispatch Date?","จัดส่งวันที่?"
"Don't count these custom option SKUs :","ไม่นับเหล่านี้ตัวเลือกที่กำหนดเอง SKUs:"
"Double-line spacing?","ระยะห่างระหว่างสายสองครั้ง?"
"Double-up this barcode?","ดับเบิลขึ้นบาร์โค้ดนี้หรือไม่?"
"Drink Flag","เครื่องดื่มธง"
"E: ","E:"
"Eg. nudge it up off integrated labels","เช่น. เขยิบขึ้นป้ายแบบบูรณาการปิด"
"eg. put 'wholesale', then only wholesale customers will see 'Message B'","เช่น. ใส่ 'ขายส่ง' แล้วเท่านั้นลูกค้าขายส่งจะเห็น 'ข้อความ B'"
"eg. put your country, then only overseas orders will have country added","เช่น. นำประเทศของคุณแล้วเท่านั้นคำสั่งซื้อจากต่างประเทศจะมีประเทศที่เพิ่มขึ้น"
"Eg. shelving info","เช่น. ข้อมูลเก็บเข้าลิ้นชัก"
"Email: Body","อีเมล์: ร่างกาย"
"Email: Send To","อีเมล์: ส่งให้"
"Email: Sender","อีเมล์: ผู้ส่ง"
"Email: Subject","หัวข้อจดหมาย"
"Enable auto processing?","เปิดใช้งานการประมวลผลอัตโนมัติ?"
"Enter your license key here","ใส่คีย์ใบอนุญาตของคุณที่นี่"
"Exactly position shipping detail (eg. for envelope window)","ว่ารายละเอียดตำแหน่งการจัดส่งสินค้า (เช่น. หน้าต่างซอง)"
"Exactly position top address (eg. for envelope window)","ตรงตำแหน่งที่อยู่ด้านบน (เช่น. หน้าต่างซอง)"
"Export","ส่งออก"
"Export: Path","การส่งออก: เส้นทาง"
"Extra attribute position","ตำแหน่งแอตทริบิวต์พิเศษ"
"F: ","F:"
"File Path","เส้นทางของแฟ้ม"
"Fill Bars?","กรอกบาร์?"
"Fill bkg comments box ?","กรอก BKG ช่องแสดงความคิดเห็น?"
"Fill columns titlebar?","กรอกคอลัมน์แถบชื่อ?"
"Filter again?","กรองอีกครั้งหรือไม่"
"Filter by supplier?","กรองตามผู้จัดจำหน่าย?"
"Filter items again?","กรองรายการอีกครั้งหรือไม่"
"Filter items by status?","รายการตามสถานะกรอง?"
"Filter items?","รายการกรอง?"
"Filter order notes?","บันทึกเพื่อกรอง?"
"Filter out some options?","กรองตัวเลือกบางอย่าง?"
"Filter out some?","กรองออกบางส่วน?"
"Filter out these attributes","กรองแอตทริบิวต์เหล่านี้"
"Filter out these custom option SKUs :","กรอง SKUs ตัวเลือกที่กำหนดเองเหล่านี้:"
"Filter shipped items?","กรองสินค้าที่จัดส่ง?"
"Filter text","ข้อความของตัวกรอง"
"Filter text (don't show notes containg this text)","ข้อความของตัวกรอง (ไม่แสดง containg บันทึกข้อความนี้)"
"Filter?","กรอง?"
"Filter/Split which PDFs?","กรอง / Split ซึ่งไฟล์ PDF?"
"Filters: Order-separated PDFs, Order-combined PDFs","กรองข้อมูล: ไฟล์ PDF สั่งซื้อแยกไฟล์ PDF การสั่งซื้อรวม"
"First Name","ชื่อจริง"
"First order starts at","สั่งซื้อครั้งแรกเริ่มต้นที่"
"Fix Subtotals to page base","แก้ไขผลรวมย่อยไปยังฐานหน้า"
"Flat-address font size","ขนาดตัวอักษรแบนอยู่"
"Font","ตัวอักษร"
"Font size","ขนาดตัวอักษร"
"Font size (Product Lines)","ขนาดตัวอักษร (สายผลิตภัณฑ์)"
"Font size (Return address)","ขนาดตัวอักษร (ที่อยู่กลับ)"
"Font size (Shipping address)","ขนาดตัวอักษร (ที่อยู่จัดส่ง)"
"For all customer group types","สำหรับทุกประเภทของกลุ่มลูกค้า"
"For any customer group containing filter word","คำกรองกลุ่มลูกค้าที่มี"
"For configurable products, show:","สำหรับผลิตภัณฑ์ที่กำหนดแสดง:"
"For custom minimum stock levels for specific SKUs, set like this:","สำหรับการกำหนดระดับขั้นต่ำที่สต็อกสำหรับ SKUs เฉพาะการตั้งค่าเช่นนี้"
"For full-page sharp backgrounds, upload images with dimensions  595<b style="color:red;">pt</b> x 842<b style="color:red;">pt</b> (A4), or 612<b style="color:red;">pt</b> x 792<b style="color:red;">pt</b> (Letter)","สำหรับพื้นหลังคมชัดเต็มหน้าอัปโหลดภาพที่มีขนาด 595 <b style = "สี: สีแดง;"> PT </ b> x 842 <b style = "สี: สีแดง;"> PT </ b> (A4) หรือ 612 <b style = "สี: สีแดง;"> PT </ b> x 792 <b style = "สี: สีแดง;"> PT </ b> (Letter)"
